Day_name,Activity,Start,Assumption_take(H),Total(H),Days,Main_Focus,focus_am,focus_pm
,TV,5/12/2022,1.0,0.28,,RL,,
,Youtube,5/12/2022,1.0,0.07,,None,,
,Youtube,5/12/2022,1.0,0.78,,None,,
,Music,6/12/2022,1.0,0.42,,None,,
,Finding Book(Time),6/12/2022,1.0,0.6,,None,,
,Seaborn tuturial,7/12/2022,1.0,0.05,,None,,
,Seaborn tuturial,7/12/2022,1.0,0.8,,None,,
,Algorithm Trading,7/12/2022,1.0,1.98,,None,,
,Reading book,9/12/2022,1.0,0.55,,None,,
,Coffee Time+ Rest,12/9/2022,1.0,0.37,0.0,None,,
,Thinking,12/9/2022,1.0,0.17,0.0,None,,
Friday,Tv series,12/9/2022,6.0,4.7,0.0,None,,
Saturday,Algorithm trading,12/10/2022,2.0,0.32,0.0,Pandas -- Machine learning,,
Saturday,Thinking,12/10/2022,3.0,0.78,1.0,None,,
Saturday,Algorithm trading,12/10/2022 13:02,4.0,2.3,1.0,None,,
Saturday,Thinking,12/10/2022 15:20,3.0,0.12,1.0,None,,
Saturday,Algorithm trading,12/10/2022 15:28,1.0,2.63,2.0,None,,
Saturday,Seaborn tutorial,12/10/2022 18:07,3.0,0.67,2.0,None,,
Saturday,Tv series,12/10/2022 18:47,2.0,0.9,2.0,None,,
Saturday,Books,12/10/2022 19:45,1.0,0.63,2.0,None,,
Saturday,Books,12/10/2022 20:26,2.0,0.32,2.0,None,,
Monday,Algorithim trading,12/12/2022 8:51,5.0,2.38,3.0,Algorithm trading,,
Monday,Cooking,12/12/2022 11:35,1.0,0.48,3.0,None,,
Monday,Backtrader,12/12/2022 13:04,2.0,1.27,3.0,None,,
Monday,Backtrader,12/12/2022 14:21,3.0,1.52,3.0,None,,
Monday,Backtrader,12/12/2022 18:42,4.0,0.57,4.0,None,,
Tuesday,Reading finance book,12/13/2022 10:49,1.0,0.82,4.0,Reading book -- Testing strategies -- Try/error template,,
Tuesday,Lunch,12/13/2022 11:39,1.0,0.57,4.0,None,,
Tuesday,Panel,12/13/2022 12:30,1.0,1.08,4.0,None,,
Tuesday,Reading book,12/13/2022 13:35,2.0,0.5,4.0,None,,
Tuesday,Tv series,12/13/2022 14:06,2.0,0.87,4.0,None,,
Tuesday,Reading book,12/13/2022 14:58,3.0,4.0,5.0,None,,
Tuesday,Reading book,12/13/2022 18:58,5.0,3.43,5.0,None,,
Wednesday,Planning,12/14/2022 8:39,2.0,2.57,5.0,Visulization -- Api -- Books,,
Wednesday,Youtube,12/14/2022 11:54,1.0,0.75,5.0,None,,
Wednesday,Book- finance,12/14/2022 13:03,2.0,4.93,6.0,None,,
Wednesday,Modeling,12/14/2022 17:59,1.0,2.18,6.0,None,,
Wednesday,Reading,12/14/2022 20:23,3.0,0.62,6.0,None,,
Thursday,Thinking,12/15/2022 0:25,3.0,0.95,6.0,None,,
Thursday,Tv series,12/15/2022 21:16,3.0,3.15,7.0,None,,
Friday,Thinking,12/16/2022 10:57,3.0,0.35,7.0,None,,
Friday,Coffee,12/16/2022 12:09,3.0,0.6,7.0,None,,
Friday,Youtube,12/16/2022 12:45,3.0,0.88,7.0,None,,
Friday,Reading,12/16/2022 16:40,3.0,0.95,8.0,None,,
Monday,Lunch,12/19/2022 12:06,2.0,2.0,9.0,pandas,pandas-8-12,"machine learning-12-9 -- backtrader-2-9,,,,,11
"
Monday,Pandas,12/19/2022 14:39,2.0,3.4,11.0,,,
Monday,Rest,12/19/2022 18:05,1.0,0.95,11.0,,,
Monday,Reading,12/19/2022 19:03,1.0,1.15,11.0,,,
Tuesday,Lunch,12/20/2022 12:36,1.0,1.32,11.0,machine learning,,machine learning-2-6--pandas-6-9--backtrader-9-12
Tuesday,Pandas,12/20/2022 17:33,3.0,2.75,12.0,,,
Tuesday,Dinner,12/20/2022 20:40,1.0,3.47,12.0,,,
Wednesday,Buying ram,12/21/2022 11:02,2.0,2.98,12.0,ml,,
Wednesday,Lunch,12/21/2022 14:01,1.0,1.95,12.0,,,pandas-3-5--ml-6-12
Wednesday,Pandas,12/21/2022 15:58,3.0,2.85,13.0,,,
Wednesday,Youtube,12/21/2022 20:34,2.0,0.3,13.0,,,
Friday,Ml,2022/12/23 16:56,1.0,3.0,15.0,ml,,ml-5-12
Saturday,Reading books,2022/12/24 04:42,1.0,1.22,15.0,RL,reading-3-6,rl-2-5
Tuesday,Rl,2022/12/27 09:01,3.0,1.63,18.0,RL,,
