,Open,High,Low,Close,Adj Close,Volume
2022-01-05 01:00:00,1.5241486153172445e-06,1.5241486153172445e-06,1.5198368146229768e-06,1.522076672699768e-06,1.522076672699768e-06,0
2022-01-05 02:00:00,1.520589421488694e-06,1.5234638794936473e-06,1.5122244576559751e-06,1.520909108876367e-06,1.520909108876367e-06,32436
2022-01-05 03:00:00,1.5216119209071621e-06,1.5266198261087993e-06,1.5202209624476382e-06,1.5258993926181574e-06,1.5258993926181574e-06,0
2022-01-05 04:00:00,1.5258724488376174e-06,1.5301551457014284e-06,1.5227324183797464e-06,1.5270439917003387e-06,1.5270439917003387e-06,0
2022-01-05 05:00:00,1.5268940387613839e-06,1.5329319467127789e-06,1.5258470966728055e-06,1.5280694469765876e-06,1.5280694469765876e-06,0
2022-01-05 06:00:00,1.5278416185537935e-06,1.5315500832002726e-06,1.5190091744443635e-06,1.5238031210174086e-06,1.5238031210174086e-06,13636
2022-01-05 07:00:00,1.522778347862186e-06,1.5306080740629113e-06,1.5218881799228257e-06,1.5243390407704283e-06,1.5243390407704283e-06,0
2022-01-05 08:00:00,1.5243349480442703e-06,1.5334827594415401e-06,1.521297122053511e-06,1.5334827594415401e-06,1.5334827594415401e-06,176480
2022-01-05 09:00:00,1.5338875982706668e-06,1.5405145177282975e-06,1.5282356571333366e-06,1.5405145177282975e-06,1.5405145177282975e-06,132144
2022-01-05 10:00:00,1.5403563793370267e-06,1.5403563793370267e-06,1.5294461945813964e-06,1.5297270010705688e-06,1.5297270010705688e-06,0
2022-01-05 11:00:00,1.5291994941435405e-06,1.5300416862373822e-06,1.5206782109089545e-06,1.5206782109089545e-06,1.5206782109089545e-06,0
2022-01-05 12:00:00,1.5205976069410099e-06,1.5205976069410099e-06,1.5140135474212002e-06,1.5152863852563314e-06,1.5152863852563314e-06,0
2022-01-05 13:00:00,1.5153132153500337e-06,1.5304198086596443e-06,1.5153132153500337e-06,1.5255033076755353e-06,1.5255033076755353e-06,0
2022-01-05 14:00:00,1.5258426628861343e-06,1.5286954067050829e-06,1.5218161024677102e-06,1.5286694861060823e-06,1.5286694861060823e-06,0
2022-01-05 15:00:00,1.5298226117010927e-06,1.5298226117010927e-06,1.5195041669358034e-06,1.5217399322864367e-06,1.5217399322864367e-06,0
2022-01-05 16:00:00,1.5215171060845023e-06,1.5243851976265432e-06,1.5181437902356265e-06,1.5181437902356265e-06,1.5181437902356265e-06,0
2022-01-05 17:00:00,1.5189197029030765e-06,1.518941189715406e-06,1.511179902990989e-06,1.5128752011150937e-06,1.5128752011150937e-06,323089
2022-01-06 00:00:00,1.4105140735409805e-06,1.4245190413930686e-06,1.3958994031781913e-06,1.4162794741423568e-06,1.4162794741423568e-06,356618
2022-01-06 01:00:00,1.4109742778600776e-06,1.4126754876997438e-06,1.3784806469629984e-06,1.3784806469629984e-06,1.3784806469629984e-06,644198
2022-01-06 02:00:00,1.3790651109957253e-06,1.3846071169609786e-06,1.366153810522519e-06,1.366153810522519e-06,1.366153810522519e-06,288624
2022-01-06 03:00:00,1.3662933042724035e-06,1.3780526160189766e-06,1.3399867384578101e-06,1.3516660146706272e-06,1.3516660146706272e-06,710404
2022-01-06 04:00:00,1.3448560594042647e-06,1.3448560594042647e-06,1.3171963928471087e-06,1.3260593050290481e-06,1.3260593050290481e-06,1098068
2022-01-06 05:00:00,1.331747739641287e-06,1.3477592801791616e-06,1.331747739641287e-06,1.3375876051213709e-06,1.3375876051213709e-06,627616
2022-01-06 06:00:00,1.340008452643815e-06,1.3529815987567417e-06,1.3321380265551852e-06,1.3322219274414238e-06,1.3322219274414238e-06,934814
2022-01-06 07:00:00,1.3330414958545589e-06,1.3415670991889783e-06,1.331803673565446e-06,1.3391977518040221e-06,1.3391977518040221e-06,104580
2022-01-06 08:00:00,1.343480903415184e-06,1.3507508356269682e-06,1.3346730156627018e-06,1.336018158326624e-06,1.336018158326624e-06,347752
2022-01-06 09:00:00,1.3363799098442541e-06,1.337923663413676e-06,1.303369685956568e-06,1.303369685956568e-06,1.303369685956568e-06,69400
2022-01-06 10:00:00,1.3030770560362726e-06,1.3276631989356247e-06,1.2962451592102298e-06,1.3264450444694376e-06,1.3264450444694376e-06,595332
2022-01-06 11:00:00,1.326459937445179e-06,1.3287400406625238e-06,1.3174974355933955e-06,1.3215666285759653e-06,1.3215666285759653e-06,636396
2022-01-06 12:00:00,1.3203193702793214e-06,1.3397130942394142e-06,1.3186850083002355e-06,1.3397130942394142e-06,1.3397130942394142e-06,278790
2022-01-06 13:00:00,1.3391878610491403e-06,1.3685214526049094e-06,1.3391878610491403e-06,1.3685214526049094e-06,1.3685214526049094e-06,1241282
2022-01-06 14:00:00,1.3663717481904314e-06,1.381275751555222e-06,1.3598016721516615e-06,1.367429604215431e-06,1.367429604215431e-06,1051632
2022-01-06 15:00:00,1.3525448139262153e-06,1.3711284054807038e-06,1.3384942576522008e-06,1.3707614243685384e-06,1.3707614243685384e-06,879188
2022-01-06 16:00:00,1.3700156387130846e-06,1.370670133837848e-06,1.3563154652729281e-06,1.3574845070252195e-06,1.3574845070252195e-06,23928
2022-01-06 17:00:00,1.357891846964776e-06,1.3748069704888621e-06,1.3553604958360665e-06,1.369381720905949e-06,1.369381720905949e-06,125524
2022-01-06 18:00:00,1.369319193145202e-06,1.3931122566646081e-06,1.3679394896826125e-06,1.3931122566646081e-06,1.3931122566646081e-06,111460
2022-01-06 19:00:00,1.3921891195423086e-06,1.4080903838475933e-06,1.3855433280696161e-06,1.4055594874662347e-06,1.4055594874662347e-06,672012
