,Open,High,Low,Close,Adj Close,Volume
2022-03-13 14:00:00,5.172797727936995e-07,5.193166430217389e-07,5.16287627760903e-07,5.19019295097678e-07,5.19019295097678e-07,44716
2022-03-13 15:00:00,5.190193519410968e-07,7.756642617096077e-07,5.190193519410968e-07,7.153415140237485e-07,7.153415140237485e-07,481844
2022-03-13 16:00:00,7.15341286650073e-07,1.0146613931283355e-06,7.15341286650073e-07,9.69302277553652e-07,9.69302277553652e-07,852000
2022-03-13 17:00:00,9.73310079643852e-07,1.0411503126306343e-06,8.502053105985397e-07,9.231966942024883e-07,9.231966942024883e-07,0
2022-03-13 18:00:00,9.231969784195826e-07,9.893598189592012e-07,9.070639066521835e-07,9.39120809562155e-07,9.39120809562155e-07,105924
2022-03-13 19:00:00,9.391198432240344e-07,9.822772426559823e-07,9.391198432240344e-07,9.758335863807588e-07,9.758335863807588e-07,0
2022-03-13 20:00:00,9.758341548149474e-07,9.758341548149474e-07,9.51259551129624e-07,9.514113230579824e-07,9.514113230579824e-07,0
2022-03-13 21:00:00,9.514120620224276e-07,9.51432696183474e-07,9.279804089601384e-07,9.279804089601384e-07,9.279804089601384e-07,0
2022-03-13 22:00:00,9.279806931772328e-07,9.315240276919212e-07,9.095364816857909e-07,9.095364816857909e-07,9.095364816857909e-07,0
2022-03-13 23:00:00,9.095322184293764e-07,9.230957971340104e-07,7.756402737868484e-07,9.131454703492636e-07,9.131454703492636e-07,0
2022-03-14 00:00:00,9.136228413808567e-07,9.18907971936278e-07,7.846458629501285e-07,7.992245514287788e-07,7.992245514287788e-07,0
2022-03-14 01:00:00,7.992234714038204e-07,8.168032081812271e-07,7.713157401667559e-07,7.713157401667559e-07,7.713157401667559e-07,0
2022-03-14 02:00:00,7.713143190812843e-07,7.873561571614118e-07,7.182854915299686e-07,7.670650461477635e-07,7.670650461477635e-07,0
2022-03-14 03:00:00,7.670658419556275e-07,7.693532211305865e-07,7.232943630697264e-07,7.412512559312745e-07,7.412512559312745e-07,0
2022-03-14 04:00:00,7.412521654259763e-07,8.002059530554106e-07,7.322734631998173e-07,7.879865506765782e-07,7.879865506765782e-07,0
2022-03-14 05:00:00,7.879857548687141e-07,9.671715588410734e-07,7.879857548687141e-07,9.503743854111235e-07,9.503743854111235e-07,0
2022-03-14 06:00:00,9.503669957666716e-07,9.629055739424075e-07,9.334619903711427e-07,9.483966891821183e-07,9.483966891821183e-07,0
2022-03-14 07:00:00,9.485375471740554e-07,9.519753234599193e-07,9.427297413822089e-07,9.427297413822089e-07,9.427297413822089e-07,0
2022-03-14 08:00:00,9.427265581507527e-07,9.427265581507527e-07,8.03578643626679e-07,8.03578643626679e-07,8.03578643626679e-07,0
2022-03-14 09:00:00,8.035776204451395e-07,9.429599003851763e-07,8.022270208130067e-07,8.48178387968801e-07,8.48178387968801e-07,0
2022-03-14 10:00:00,8.481781037517067e-07,9.807666856431752e-07,8.164432756530005e-07,9.807666856431752e-07,9.807666856431752e-07,2289057
2022-03-14 11:00:00,9.807580454435083e-07,1.0154161600439693e-06,9.601432111594477e-07,9.601432111594477e-07,9.601432111594477e-07,0
2022-03-14 12:00:00,9.604310662325588e-07,9.718124829305452e-07,9.220902370543627e-07,9.383446126776107e-07,9.383446126776107e-07,0
2022-03-14 13:00:00,9.38636901537393e-07,9.408112191522378e-07,8.412600891460897e-07,8.664757160659065e-07,8.664757160659065e-07,1019309
2022-03-14 14:00:00,8.664759434395819e-07,8.664759434395819e-07,8.003723337424162e-07,8.584850661463861e-07,8.584850661463861e-07,264631
2022-03-14 15:00:00,8.589267963543534e-07,8.922546044232149e-07,8.413280170316284e-07,8.687345598445972e-07,8.687345598445972e-07,237356
2022-03-14 16:00:00,8.687347872182727e-07,8.79150434229814e-07,8.330374612341984e-07,8.465119663014775e-07,8.465119663014775e-07,0
2022-03-14 17:00:00,8.467330303574272e-07,8.467330303574272e-07,8.02429838131502e-07,8.047146593526122e-07,8.047146593526122e-07,0
2022-03-14 18:00:00,8.047139772315859e-07,8.04933222298132e-07,7.675515689697932e-07,7.747481731712469e-07,7.747481731712469e-07,0
2022-03-14 19:00:00,7.74757950239291e-07,7.74757950239291e-07,6.144464919088932e-07,7.671080766158411e-07,7.671080766158411e-07,370505
2022-03-14 20:00:00,7.692654548918654e-07,7.801684205333004e-07,7.170442017923051e-07,7.801684205333004e-07,7.801684205333004e-07,530298
2022-03-14 21:00:00,7.798082606313983e-07,7.819336360626039e-07,7.772129038130515e-07,7.772129038130515e-07,7.772129038130515e-07,0
2022-03-14 22:00:00,7.772156322971568e-07,7.927483807179669e-07,7.772156322971568e-07,7.924234068923397e-07,7.924234068923397e-07,0
2022-03-14 23:00:00,7.924227247713134e-07,7.924227247713134e-07,6.863159001113672e-07,7.559324899375497e-07,7.559324899375497e-07,170479
2022-03-15 00:00:00,7.567510920125642e-07,8.063220775511581e-07,6.976467261665675e-07,8.051990221247252e-07,8.051990221247252e-07,0
2022-03-15 01:00:00,8.052014095483173e-07,8.549329777451931e-07,7.948040092742303e-07,8.549329777451931e-07,8.549329777451931e-07,0
2022-03-15 02:00:00,8.554774808544607e-07,8.554774808544607e-07,7.093268550306675e-07,7.093268550306675e-07,7.093268550306675e-07,0
2022-03-15 03:00:00,7.093257181622903e-07,7.940485602375702e-07,6.341935545606248e-07,6.341935545606248e-07,6.341935545606248e-07,38728
2022-03-15 04:00:00,6.341992389025108e-07,7.753284876343969e-07,6.341992389025108e-07,7.71764916862594e-07,7.71764916862594e-07,453647
2022-03-15 05:00:00,7.7176611057439e-07,7.854704335841234e-07,7.689592393944622e-07,7.854704335841234e-07,7.854704335841234e-07,0
2022-03-15 06:00:00,7.864579174565733e-07,7.940628279357043e-07,7.801579045008111e-07,7.940628279357043e-07,7.940628279357043e-07,0
2022-03-15 07:00:00,7.939997885841876e-07,7.990956305548025e-07,7.81874405220151e-07,7.900364380475366e-07,7.900364380475366e-07,0
2022-03-15 08:00:00,7.901768412921228e-07,7.969225066517538e-07,7.861683002374775e-07,7.935171311146405e-07,7.935171311146405e-07,0
2022-03-15 09:00:00,7.935271923997789e-07,7.939725605865533e-07,7.774957566653029e-07,7.774957566653029e-07,7.774957566653029e-07,7871
2022-03-15 10:00:00,7.77371553795092e-07,7.77371553795092e-07,6.5305823682138e-07,6.941304491192568e-07,6.941304491192568e-07,0
2022-03-15 11:00:00,6.941216952327522e-07,6.941216952327522e-07,6.295127832345315e-07,6.315577252280491e-07,6.315577252280491e-07,0
2022-03-15 12:00:00,6.313487688203168e-07,6.321189971458807e-07,4.859601290263527e-07,5.303344892126916e-07,5.303344892126916e-07,244343
2022-03-15 13:00:00,5.30335512394231e-07,5.916468808209174e-07,4.5962443095959316e-07,5.916468808209174e-07,5.916468808209174e-07,490282
2022-03-15 14:00:00,5.903187911826535e-07,6.857593461973011e-07,5.903187911826535e-07,6.857593461973011e-07,6.857593461973011e-07,230143
2022-03-15 15:00:00,6.855389074189588e-07,7.259255880853743e-07,6.740744993294356e-07,7.167933517848724e-07,7.167933517848724e-07,122653
2022-03-15 16:00:00,7.165608053583128e-07,7.228222784760874e-07,6.589035592696746e-07,6.618270731451048e-07,6.618270731451048e-07,0
2022-03-15 17:00:00,6.627909101553087e-07,6.627909101553087e-07,6.096798301769013e-07,6.102125666984648e-07,6.102125666984648e-07,0
2022-03-15 18:00:00,6.09797552897362e-07,6.109768264650484e-07,5.623844003821432e-07,5.66231051379873e-07,5.66231051379873e-07,0
2022-03-15 19:00:00,5.662321314048313e-07,5.852620574842149e-07,5.662321314048313e-07,5.852620574842149e-07,5.852620574842149e-07,0
2022-03-15 20:00:00,5.852627964486601e-07,5.956870836598682e-07,5.852627964486601e-07,5.945579459876171e-07,5.945579459876171e-07,47461
2022-03-15 21:00:00,5.945603902546281e-07,6.017579039507837e-07,5.845919872626837e-07,6.000701091579685e-07,6.000701091579685e-07,66397
2022-03-15 22:00:00,6.000714165566023e-07,6.057275641069282e-07,5.99572501869261e-07,5.999128802613996e-07,5.999128802613996e-07,58817
